id,sku,name,en description,,es description
402,JSLQ02,Stainless Steel Pop Rivets,<p>&oslash;3.2mm Stainless Steel 48mm long Pop Rivet.</p> <p>Use our &oslash;3.3mm Drill bit to make the hole to suit this pop rivet</p>,,
401,JSLQ01,Drill Bit,"<p>&oslash;3.3mm HSS (High Speed Steel) 65mm long Drill Bit.</p> <p>HSS bits are hard and more resistant to heat that high-carbon steel.</p> <p>They can be used to drill metal, hardwood, and most other materials at greater cutting speeds than carbon-steel</p>",,
214,JSGC10,Drill Bit,"<p>&oslash;6.5mm HSS (High Speed Steel)  Drill Bit.</p> <p>HSS bits are hard and more resistant to heat that high-carbon steel.</p> <p>They can be used to drill metal, hardwood, and most other materials at greater cutting speeds than carbon-steel bits</p>",,
209,JSGC04,Socket,<p>10mm Stainless Steel Socket.</p> <p>This socket is the correct size for fitting our glass clamps using the recommended fixings</p>,,
405,JSNA01,Safety Chain,"<p>302 Grade Stainless Steel Safety Chain</p> <p>Safety chain is ideal for use where safety is needed, the design of the chain means that there is lateral movement in the links which reduces the chance of catching fingers between the links</p> <p><strong>Please note that this product hasn't been load tested</strong></p>",,
406,JSNA02,Safety Chain,"<p>302 Grade Stainless Steel Safety Chain</p> <p>Safety chain is ideal for use where safety is needed, the design of the chain means that there is lateral movement in the links which reduces the chance of catching fingers between the links</p><p><strong>Please note that this product hasn't been load tested</strong></p>",,
435,JSNH01,Sash Chain,"<p>302 Grade Stainless Steel Sash Chain, also known as light chain</p> <p>Sash chain is used where smooth operation is needed over pulleys, light fittings or other items. It is commonly used in the suspension of double hung windows</p>  <p><strong>Please note that this chain has not been load tested</strong></p>",,
926,JSZD30,D Shackle with Screw Collar Pin,"<p>304 Grade D Shackle, perfect for use where durability and toughness are required.</p> <p>This product has a screw pin which can be fully removed from the shackle.</p><p>Not suitable for boat usage, please see 316 grade shackles</p><p><strong>Please note that this product hasn't been load tested</strong></p>",,
1131,JSLT25304M,Handrail Tube,"<p>304 Grade Mirror Polished &oslash;25.4mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;25.4mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1133,JSLT38304M,Handrail Tube,"<p>304 Grade Mirror Polished &oslash;38mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;38mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1136,JSLT42304M,Handrail Tube,"<p>304 Grade Mirror Polished &oslash;42.4mm x 2mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;42.4mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1141,JSLT51304M,Handrail Tube,"<p>304 Grade Mirror Polished &oslash;51mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;51mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1130,JSLT25304S,Handrail Tube,"<p>304 Grade Satin Polished &oslash;25.4mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;25.4mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
